3000,         0.03125,                           6.125
3016,          -0.375,                         2.65625
3032,             0.5,                         1.46875
3048,         0.21875,                         2.90625
3064,         -0.5625,                            12.5
3080,        -0.09375,                            9.75
3096,        -0.53125,                          10.125
3112,               0,                         12.6875
3128,         0.71875,                          5.3125
3144,        -0.15625,                          4.4375
3160,          -0.625,                         3.53125
3176,        -0.59375,                            0.25
3192,               0,                            1.25
3208,        -0.53125,                         1.34375
3224,        -0.34375,                         3.59375
3240,            -0.5,                         0.96875
3256,        -0.40625,                         0.21875
3272,         0.21875,                          0.1875
3288,        -0.09375,                         2.15625
3304,         0.03125,                         0.71875
3320,        -0.09375,                          1.6875
3336,        -0.03125,                          0.6875
3352,         0.15625,                           1.375
3368,         -0.3125,                           0.125
3384,        -0.03125,                           0.125
3400,         0.21875,                          1.1875
3416,         -0.3125,                             1.5
3432,         0.34375,                          1.9375
3448,        -0.34375,                         0.59375
3464,         0.46875,                         0.15625
3480,          -0.875,                          0.3125
3496,        -0.28125,                         2.40625
3512,        -0.21875,                         0.09375
3528,        -0.71875,                         2.65625
3544,         0.03125,                         1.09375
3560,            0.25,                          1.6875
3576,        -0.09375,                          1.3125
3592,         0.65625,                           4.625
3608,          0.4375,                         0.65625
3624,        -0.21875,                          1.9375
3640,         0.34375,                          1.6875
3656,         -0.0625,                         1.71875
3672,         -0.1875,                         1.46875
3688,        -0.15625,                         2.53125
3704,         -0.3125,                            0.25
3720,         0.15625,                           0.125
3736,         0.71875,                         0.84375
3752,          0.3125,                          1.3125
3768,          0.3125,                         2.15625
3784,        -0.09375,                         0.28125
3800,        -0.46875,                         0.65625
3816,        -0.28125,                           1.875
3832,              -1,                         3.96875
3848,           -0.25,                          1.6875
3864,         0.03125,                         1.59375
3880,           0.625,                           0.375
3896,         -1.4375,                         1.65625
3912,          0.4375,                         0.34375
3928,          0.4375,                         0.78125
3944,        -0.28125,                         0.53125
3960,          -0.875,                         0.90625
3976,        -0.34375,                         1.03125
3992,         -0.5625,                          2.1875
4008,         0.15625,                         0.78125
4024,        -0.03125,                          1.1875
4040,          0.3125,                         2.46875
4056,          0.1875,                          1.0625
4072,           0.375,                         2.28125
4088,        -0.40625,                          2.4375
4104,          0.4375,                          1.9375
4120,         0.15625,                          1.1875
4136,        -0.21875,                         0.78125
4152,           0.375,                         0.46875
4168,         0.09375,                          1.0625
4184,          0.1875,                           0.375
4200,         -0.1875,                         0.21875
4216,         0.15625,                               1
4232,         0.34375,                          0.0625
4248,         -0.3125,                          1.1875
4264,          0.0625,                         0.28125
4280,          0.4375,                             1.5
4296,         0.03125,                         1.96875
4312,         0.09375,                           2.375
4328,         0.15625,                         0.65625
4344,           -0.25,                           0.375
4360,        -0.46875,                         0.21875
4376,        -0.40625,                         2.59375
4392,          -0.375,                               1
4408,           0.125,                           1.875
4424,         1.09375,                          1.0625
4440,          -0.625,                          1.9375
4456,        -0.03125,                         1.15625
4472,               0,                             1.5
4488,         0.59375,                           0.625
4504,            0.25,                          0.1875
4520,        -0.46875,                         0.03125
4536,         0.03125,                           0.875
4552,            -0.5,                         0.53125
4568,         -0.4375,                          3.0625
4584,        -0.28125,                          0.1875
4600,          0.3125,                          3.5625
4616,         0.59375,                          1.0625
4632,         0.78125,                          3.6875
4648,           -0.25,                          0.9375
4664,        -0.03125,                         3.84375
4680,           0.125,                               2
4696,         0.28125,                         0.40625
4712,           -0.25,                          1.5625
4728,         -0.1875,                           0.625
4744,         -0.1875,                         0.71875
4760,         0.40625,                           0.125
4776,        -0.34375,                          0.8125
4792,            0.25,                         0.09375
4808,        -0.21875,                           0.875
4824,         0.03125,                         0.46875
4840,          -0.125,                           0.625
4856,         -0.3125,                          0.9375
4872,           0.125,                         0.03125
4888,             0.5,                            0.75
4904,          0.0625,                          0.0625
4920,        -0.09375,                          2.1875
4936,        -0.09375,                         0.03125
4952,         -0.5625,                          0.6875
4968,        -0.15625,                         1.15625
4984,        -0.40625,                          2.9375
5000,         -0.9375,                          0.9375
5016,        -0.21875,                          1.6875
5032,         0.46875,                          0.4375
5048,           -0.25,                          0.4375
5064,         0.34375,                          1.6875
5080,           0.125,                         1.59375
5096,        -0.15625,                          1.5625
5112,        -0.46875,                         0.15625
5128,         0.15625,                           0.375
5144,          0.1875,                           0.125
5160,          0.1875,                            0.25
5176,           -0.25,                         1.15625
5192,               0,                           1.875
5208,         0.15625,                         1.03125
5224,        -0.59375,                         0.59375
5240,          -0.375,                           1.625
5256,         0.53125,                         1.34375
5272,        -0.15625,                         0.03125
5288,          0.3125,                          1.3125
5304,        -0.21875,                         1.40625
5320,         0.21875,                         0.34375
5336,          0.0625,                         0.96875
5352,          0.1875,                          1.1875
5368,         0.34375,                           1.125
