(0.24225-0.40321j)
(0.13889-0.37104j)
(0.29808-0.3382j)
(0.1625-0.23825j)
(0.19582-0.34211j)
(0.279-0.356j)
(0.39246-0.16662j)
(0.13651-0.1675j)
(0.34209-0.28278j)
(0.30346-0.12471j)
(0.3895-0.03614j)
(0.019699+0.084854j)
(0.14791-0.31093j)
(0.26774-0.03127j)
(0.11232-0.098064j)
(0.088783-0.1563j)
(0.27268-0.26113j)
(0.23599-0.011985j)
(0.22194-0.1742j)
(0.25124+0.084068j)
(0.0092719-0.076069j)
(0.13455-0.15488j)
(0.18159-0.14808j)
(0.10404-0.11832j)
(0.30025-0.31874j)
(0.3624+0.087488j)
(0.13663-0.11992j)
(0.31835+0.049553j)
(0.080265-0.087607j)
(0.35637-0.0058178j)
(0.070964+0.039925j)
(0.24251-0.072851j)
(0.13846-0.013691j)
(0.30487-0.062235j)
(0.17541+0.1117j)
(0.1642-0.072579j)
(0.31737+0.041408j)
(0.1106+0.15388j)
(0.15693-0.14969j)
(0.37529+0.15694j)
(0.023849+0.023837j)
(0.41634-0.0082848j)
(0.12461+0.1859j)
(0.33728-0.054906j)
(0.32364+0.21192j)
(0.37272+0.15667j)
(0.25333+0.34171j)
(0.35364+0.16123j)
(0.40986+0.55435j)
(0.066273+0.53584j)
(0.053149+0.33178j)
(0.35851+0.37418j)
(0.16689+0.81364j)
(-0.073165+0.62727j)
(-0.083454+0.75395j)
(-0.28131+0.64981j)
(-0.30969+0.67036j)
(-0.4007+0.56252j)
(-0.4554+0.65342j)
(-0.60468+0.46333j)
(-0.59674+0.52171j)
(-0.74666+0.24079j)
(-0.49142+0.35232j)
(-0.84476+0.27621j)
(-0.5315+0.10817j)
(-0.7591+0.37567j)
(-0.9064+0.038901j)
(-0.78634-0.10124j)
(-0.62202-0.15829j)
(-0.58599-0.037842j)
(-0.67063-0.065675j)
(-0.59745-0.17932j)
(-0.49756+0.017048j)
(-0.81758-0.0042644j)
(-0.70427-0.2193j)
(-0.79595-0.16884j)
(-0.72827-0.45547j)
(-0.51239-0.37727j)
(-0.51012-0.32926j)
(-0.44821-0.2651j)
(-0.56469-0.11609j)
(-0.77518-0.34199j)
(-0.4433-0.47273j)
(-0.50239-0.15474j)
(-0.72087-0.30439j)
(-0.62977-0.47091j)
(-0.46514-0.40579j)
(-0.58298-0.31063j)
(-0.54124-0.36325j)
(-0.7082-0.27251j)
(-0.69378-0.52531j)
(-0.65384-0.39381j)
(-0.76252-0.60554j)
(-0.55755-0.59081j)
(-0.64067-0.56549j)
(-0.5658-0.58572j)
(-0.67833-0.52078j)
(-0.72938-0.71653j)
(-0.58277-0.7424j)
(-0.62115-0.7585j)
(-0.4526-0.80777j)
(-0.46472-0.62377j)
(-0.52765-0.59233j)
(-0.76815-0.52659j)
(-0.84635-0.88282j)
(-0.66975-0.85345j)
(-0.81382-0.95702j)
(-0.59743-1.0922j)
(-0.61423-0.86278j)
(-0.91439-1.0389j)
(-0.71847-1.3319j)
(-0.67116-1.2205j)
(-0.75545-1.4279j)
(-0.58743-1.5631j)
(-0.48718-1.5632j)
(-0.54424-1.6367j)
(-0.35094-1.8561j)
(-0.26921-1.7236j)
(-0.33288-1.9987j)
(0.0048924-2.1569j)
(0.25852-2.1283j)
(0.3822-2.0105j)
(0.49215-2.1524j)
(0.87476-2.0449j)
(0.9741-1.8498j)
(1.1035-1.6609j)
